name,pokedexNumber,image,generation,evolutionStage,evolved,familyID,crossGen,type1,type2,weather1,weather2,statTotal,atk,def,sta,legendary,aquireable,spawns,regional,raidable,hatchable,shiny,nest,new,notGettable,futureEvolve,cp40,cp39
Mewtwo,150,https://cdn.traction.one/pokedex/pokemon/150.png,1,1,0,78,0,psychic,,Windy,,675,300,182,193,1,1,0,0,0,0,0,0,0,0,0,3982,3925
Mew,151,https://cdn.traction.one/pokedex/pokemon/151.png,1,1,1,79,0,psychic,,Windy,,620,210,210,200,2,0,0,0,0,0,0,0,0,0,0,3090,3046
Chikorita,152,https://cdn.traction.one/pokedex/pokemon/152.png,2,1,0,80,0,grass,,Sunny/clear,,304,92,122,90,0,1,1,0,0,5,0,1,0,0,0,801,790
Bayleef,153,https://cdn.traction.one/pokedex/pokemon/153.png,2,2,0,80,0,grass,,Sunny/clear,,397,122,155,120,0,1,1,0,0,0,0,0,0,0,0,1296,1277
Meganium,154,https://cdn.traction.one/pokedex/pokemon/154.png,2,3,1,80,0,grass,,Sunny/clear,,530,168,202,160,0,1,1,0,0,0,0,0,0,0,0,2227,2195
Cyndaquil,155,https://cdn.traction.one/pokedex/pokemon/155.png,2,1,0,81,0,fire,,Sunny/clear,,290,116,96,78,0,1,1,0,0,5,0,1,0,0,0,831,819
Quilava,156,https://cdn.traction.one/pokedex/pokemon/156.png,2,2,0,81,0,fire,,Sunny/clear,,403,158,129,116,0,1,1,0,0,0,0,0,0,0,0,1484,1462
Typhlosion,157,https://cdn.traction.one/pokedex/pokemon/157.png,2,3,1,81,0,fire,,Sunny/clear,,555,223,176,156,0,1,1,0,0,0,0,0,0,0,0,2686,2648
Totodile,158,https://cdn.traction.one/pokedex/pokemon/158.png,2,1,0,82,0,water,,Rainy,,333,117,116,100,0,1,1,0,0,5,0,1,0,0,0,1011,997
Croconaw,159,https://cdn.traction.one/pokedex/pokemon/159.png,2,2,0,82,0,water,,Rainy,,431,150,151,130,0,1,1,0,0,0,0,0,0,0,0,1598,1576
Feraligatr,160,https://cdn.traction.one/pokedex/pokemon/160.png,2,3,1,82,0,water,,Rainy,,572,205,197,170,0,1,1,0,0,0,0,0,0,0,0,2721,2682
Sentret,161,https://cdn.traction.one/pokedex/pokemon/161.png,2,1,0,83,0,normal,,Partly cloudy,,226,79,77,70,0,1,1,0,0,0,0,1,0,0,0,519,511
Furret,162,https://cdn.traction.one/pokedex/pokemon/162.png,2,2,1,83,0,normal,,Partly cloudy,,448,148,130,170,0,1,1,0,0,0,0,0,0,0,0,1667,1643
Hoothoot,163,https://cdn.traction.one/pokedex/pokemon/163.png,2,1,0,84,0,normal,flying,Partly cloudy,Windy,288,67,101,120,0,1,1,0,0,0,0,1,0,0,0,640,631
Noctowl,164,https://cdn.traction.one/pokedex/pokemon/164.png,2,2,1,84,0,normal,flying,Partly cloudy,Windy,524,145,179,200,0,1,1,0,0,0,0,0,0,0,0,2040,2011
Ledyba,165,https://cdn.traction.one/pokedex/pokemon/165.png,2,1,0,85,0,bug,flying,Rainy,Windy,294,72,142,80,0,1,1,0,0,0,0,1,0,0,0,663,654
Ledian,166,https://cdn.traction.one/pokedex/pokemon/166.png,2,2,1,85,0,bug,flying,Rainy,Windy,426,107,209,110,0,1,1,0,0,0,0,0,0,0,0,1275,1256
Spinarak,167,https://cdn.traction.one/pokedex/pokemon/167.png,2,1,0,86,0,bug,poison,Rainy,Cloudy,258,105,73,80,0,1,1,0,0,0,0,1,0,0,0,685,675
Ariados,168,https://cdn.traction.one/pokedex/pokemon/168.png,2,2,1,86,0,bug,poison,Rainy,Cloudy,429,161,128,140,0,1,1,0,0,0,0,0,0,0,0,1636,1613
Crobat,169,https://cdn.traction.one/pokedex/pokemon/169.png,2,3,1,17,0,poison,flying,Cloudy,Windy,542,194,178,170,0,1,1,0,0,0,0,0,0,0,0,2466,2431
Chinchou,170,https://cdn.traction.one/pokedex/pokemon/170.png,2,1,0,87,0,water,electric,Rainy,,362,106,106,150,0,1,1,0,0,5,0,1,0,0,0,1067,1052
Lanturn,171,https://cdn.traction.one/pokedex/pokemon/171.png,2,2,1,87,0,water,electric,Rainy,,542,146,146,250,0,1,1,0,0,0,0,0,0,0,0,2077,2047
Pichu,172,https://cdn.traction.one/pokedex/pokemon/172.png,2,0,0,10,0,electric,,Rainy,,180,77,63,40,0,1,0,0,0,2,1,0,0,0,0,376,370
Cleffa,173,https://cdn.traction.one/pokedex/pokemon/173.png,2,0,0,14,0,fairy,,Cloudy,,266,75,91,100,0,1,0,0,0,2,0,0,0,0,0,620,611
Igglybuff,174,https://cdn.traction.one/pokedex/pokemon/174.png,2,0,0,16,0,normal,fairy,Partly cloudy,Cloudy,283,69,34,180,0,1,0,0,0,2,0,0,0,0,0,512,505
Togepi,175,https://cdn.traction.one/pokedex/pokemon/175.png,2,0,0,88,0,fairy,,Cloudy,,253,67,116,70,0,1,0,0,0,2,0,0,0,0,1,540,532
Togetic,176,https://cdn.traction.one/pokedex/pokemon/176.png,2,1,1,88,0,fairy,flying,Cloudy,Windy,440,139,191,110,0,1,1,0,0,0,0,0,0,0,1,1543,1521
Natu,177,https://cdn.traction.one/pokedex/pokemon/177.png,2,1,0,89,0,psychic,flying,Windy,,303,134,89,80,0,1,1,0,0,0,0,1,0,0,0,925,911
Xatu,178,https://cdn.traction.one/pokedex/pokemon/178.png,2,2,1,89,0,psychic,flying,Windy,,468,192,146,130,0,1,1,0,0,0,0,0,0,0,0,1975,1947
Mareep,179,https://cdn.traction.one/pokedex/pokemon/179.png,2,1,0,90,0,electric,,Rainy,,306,114,82,110,0,1,1,0,0,10,0,0,0,0,0,887,874
Flaaffy,180,https://cdn.traction.one/pokedex/pokemon/180.png,2,2,0,90,0,electric,,Rainy,,397,145,112,140,0,1,1,0,0,0,0,0,0,0,0,1402,1382
Ampharos,181,https://cdn.traction.one/pokedex/pokemon/181.png,2,3,1,90,0,electric,,Rainy,,563,211,172,180,0,1,1,0,0,0,0,0,0,0,0,2695,2656
Bellossom,182,https://cdn.traction.one/pokedex/pokemon/182.png,2,3,1,18,0,grass,,Sunny/clear,,508,169,189,150,0,1,0,0,0,0,0,0,0,0,0,2108,2078
Marill,183,https://cdn.traction.one/pokedex/pokemon/183.png,2,1,0,91,0,water,fairy,Rainy,Cloudy,270,37,93,140,0,1,1,0,0,0,0,1,0,0,0,420,414
Azumarill,184,https://cdn.traction.one/pokedex/pokemon/184.png,2,2,1,91,0,water,fairy,Rainy,Cloudy,464,112,152,200,0,1,1,0,0,0,0,0,0,0,0,1503,1481
Sudowoodo,185,https://cdn.traction.one/pokedex/pokemon/185.png,2,1,1,92,0,rock,,Partly cloudy,,505,167,198,140,0,1,1,0,0,10,0,0,0,0,0,2065,2035
Politoed,186,https://cdn.traction.one/pokedex/pokemon/186.png,2,2,1,27,0,water,,Rainy,,546,174,192,180,0,1,1,0,0,0,0,0,0,0,0,2371,2337
Hoppip,187,https://cdn.traction.one/pokedex/pokemon/187.png,2,1,0,93,0,grass,flying,Sunny/clear,Windy,238,67,101,70,0,1,1,0,0,0,0,1,0,0,0,508,501
Skiploom,188,https://cdn.traction.one/pokedex/pokemon/188.png,2,2,0,93,0,grass,flying,Sunny/clear,Windy,328,91,127,110,0,1,1,0,0,0,0,0,0,0,0,882,869
Jumpluff,189,https://cdn.traction.one/pokedex/pokemon/189.png,2,3,1,93,0,grass,flying,Sunny/clear,Windy,465,118,197,150,0,1,1,0,0,0,0,0,0,0,0,1553,1531
Aipom,190,https://cdn.traction.one/pokedex/pokemon/190.png,2,1,1,94,0,normal,,Partly cloudy,,358,136,112,110,0,1,1,0,0,0,0,1,0,0,1,1188,1171
Sunkern,191,https://cdn.traction.one/pokedex/pokemon/191.png,2,1,0,95,0,grass,,Sunny/clear,,170,55,55,60,0,1,1,0,0,0,0,1,0,0,0,316,312
Sunflora,192,https://cdn.traction.one/pokedex/pokemon/192.png,2,2,1,95,0,grass,,Sunny/clear,,483,185,148,150,0,1,1,0,0,0,0,0,0,0,0,2048,2019
Yanma,193,https://cdn.traction.one/pokedex/pokemon/193.png,2,1,1,96,0,bug,flying,Rainy,Windy,378,154,94,130,0,1,1,0,0,0,0,1,0,0,1,1326,1308
Wooper,194,https://cdn.traction.one/pokedex/pokemon/194.png,2,1,0,97,0,water,ground,Rainy,Sunny/clear,260,75,75,110,0,1,1,0,0,0,0,1,0,0,0,596,587
Quagsire,195,https://cdn.traction.one/pokedex/pokemon/195.png,2,2,1,97,0,water,ground,Rainy,Sunny/clear,494,152,152,190,0,1,1,0,0,0,0,0,0,0,0,1929,1902
Espeon,196,https://cdn.traction.one/pokedex/pokemon/196.png,2,2,1,68,1,psychic,,Windy,,585,261,194,130,0,1,0,0,0,0,0,0,0,0,0,3000,2958
Umbreon,197,https://cdn.traction.one/pokedex/pokemon/197.png,2,2,1,68,1,dark,,Fog,,566,126,250,190,0,1,0,0,0,0,0,0,0,0,0,2052,2023
Murkrow,198,https://cdn.traction.one/pokedex/pokemon/198.png,2,1,1,98,0,dark,flying,Fog,Windy,382,175,87,120,0,1,1,0,0,0,0,1,0,0,1,1392,1372
Slowking,199,https://cdn.traction.one/pokedex/pokemon/199.png,2,2,1,34,0,water,psychic,Rainy,Windy,561,177,194,190,0,1,1,0,0,0,0,0,0,0,0,2482,2446
Misdreavus,200,https://cdn.traction.one/pokedex/pokemon/200.png,2,1,1,99,0,ghost,,Fog,,454,167,167,120,0,1,1,0,0,0,0,1,0,0,1,1781,1756
Unown,201,https://cdn.traction.one/pokedex/pokemon/201.png,2,1,1,100,0,psychic,,Windy,,323,136,91,96,0,1,1,0,0,0,0,0,0,0,0,1022,1008
Wobbuffet,202,https://cdn.traction.one/pokedex/pokemon/202.png,2,1,1,101,0,psychic,,Windy,,546,60,106,380,0,1,1,0,0,0,0,1,0,0,0,1024,1009
Girafarig,203,https://cdn.traction.one/pokedex/pokemon/203.png,2,1,1,102,0,normal,psychic,Partly cloudy,Windy,455,182,133,140,0,1,1,0,0,5,0,1,0,0,0,1863,1836
Pineco,204,https://cdn.traction.one/pokedex/pokemon/204.png,2,1,0,103,0,bug,,Rainy,,354,108,146,100,0,1,1,0,0,5,0,0,0,0,0,1045,1030
Forretress,205,https://cdn.traction.one/pokedex/pokemon/205.png,2,2,1,103,0,bug,steel,Rainy,Snow,553,161,242,150,0,1,1,0,0,0,0,0,0,0,0,2263,2231
Dunsparce,206,https://cdn.traction.one/pokedex/pokemon/206.png,2,1,1,104,0,normal,,Partly cloudy,,462,131,131,200,0,1,1,0,0,5,0,1,0,0,0,1615,1592
Gligar,207,https://cdn.traction.one/pokedex/pokemon/207.png,2,1,1,105,0,ground,flying,Sunny/clear,Windy,477,143,204,130,0,1,1,0,0,5,0,0,0,0,1,1758,1733
Steelix,208,https://cdn.traction.one/pokedex/pokemon/208.png,2,2,1,42,0,steel,ground,Snow,Sunny/clear,631,148,333,150,0,1,0,0,0,0,0,0,0,0,0,2439,2404
Snubbull,209,https://cdn.traction.one/pokedex/pokemon/209.png,2,1,0,106,0,fairy,,Cloudy,,346,137,89,120,0,1,1,0,0,0,0,1,0,0,0,1124,1108
Granbull,210,https://cdn.traction.one/pokedex/pokemon/210.png,2,2,1,106,0,fairy,,Cloudy,,529,212,137,180,0,1,1,0,0,0,0,0,0,0,0,2440,2406
Qwilfish,211,https://cdn.traction.one/pokedex/pokemon/211.png,2,1,1,107,0,water,poison,Rainy,Cloudy,462,184,148,130,0,1,1,0,0,0,0,1,0,0,0,1910,1883
Scizor,212,https://cdn.traction.one/pokedex/pokemon/212.png,2,2,1,59,0,bug,steel,Rainy,Snow,567,236,191,140,0,1,0,0,0,0,0,0,0,0,0,2801,2761
Shuckle,213,https://cdn.traction.one/pokedex/pokemon/213.png,2,1,1,108,0,bug,rock,Rainy,Partly cloudy,453,17,396,40,0,1,1,0,0,5,0,1,0,0,0,300,296
Heracross,214,https://cdn.traction.one/pokedex/pokemon/214.png,2,1,1,109,0,bug,fighting,Rainy,Cloudy,583,234,189,160,0,1,1,1,0,0,0,0,0,0,0,2938,2896
Sneasel,215,https://cdn.traction.one/pokedex/pokemon/215.png,2,1,1,110,0,dark,ice,Fog,Snow,456,189,157,110,0,1,0,0,0,5,0,1,0,0,1,1868,1841
Teddiursa,216,https://cdn.traction.one/pokedex/pokemon/216.png,2,1,0,111,0,normal,,Partly cloudy,,355,142,93,120,0,1,1,0,0,5,0,1,0,0,0,1184,1167
Ursaring,217,https://cdn.traction.one/pokedex/pokemon/217.png,2,2,1,111,0,normal,,Partly cloudy,,560,236,144,180,0,1,1,0,0,0,0,0,0,0,0,2760,2720
Slugma,218,https://cdn.traction.one/pokedex/pokemon/218.png,2,1,0,112,0,fire,,Sunny/clear,,269,118,71,80,0,1,1,0,0,0,0,1,0,0,0,750,740
Magcargo,219,https://cdn.traction.one/pokedex/pokemon/219.png,2,2,1,112,0,fire,rock,Sunny/clear,Partly cloudy,448,139,209,100,0,1,1,0,0,0,0,0,0,0,0,1543,1521
Swinub,220,https://cdn.traction.one/pokedex/pokemon/220.png,2,1,0,113,0,ice,ground,Snow,Sunny/clear,264,90,74,100,0,1,1,0,0,0,0,1,0,0,1,663,653
Piloswine,221,https://cdn.traction.one/pokedex/pokemon/221.png,2,2,1,113,0,ice,ground,Snow,Sunny/clear,528,181,147,200,0,1,1,0,2,0,0,0,0,0,1,2284,2252
Corsola,222,https://cdn.traction.one/pokedex/pokemon/222.png,2,1,1,114,0,water,rock,Rainy,Partly cloudy,384,118,156,110,0,1,1,1,0,0,0,0,0,0,0,1214,1197
Remoraid,223,https://cdn.traction.one/pokedex/pokemon/223.png,2,1,0,115,0,water,,Rainy,,266,127,69,70,0,1,1,0,0,2,0,1,0,0,0,749,738
Octillery,224,https://cdn.traction.one/pokedex/pokemon/224.png,2,2,1,115,0,water,,Rainy,,488,197,141,150,0,1,1,0,0,0,0,0,0,0,0,2124,2094
Delibird,225,https://cdn.traction.one/pokedex/pokemon/225.png,2,1,1,116,0,ice,flying,Snow,Windy,308,128,90,90,0,1,1,0,0,0,0,0,0,0,0,937,924
Mantine,226,https://cdn.traction.one/pokedex/pokemon/226.png,2,1,1,117,0,water,flying,Rainy,Windy,538,148,260,130,0,1,1,0,0,5,0,0,0,0,0,2032,2003
Skarmory,227,https://cdn.traction.one/pokedex/pokemon/227.png,2,1,1,118,0,steel,flying,Snow,Windy,538,148,260,130,0,1,1,0,0,10,0,0,0,0,0,2032,2003
Houndour,228,https://cdn.traction.one/pokedex/pokemon/228.png,2,1,0,119,0,dark,fire,Fog,Sunny/clear,335,152,93,90,0,1,1,0,0,5,0,1,0,0,0,1110,1094
Houndoom,229,https://cdn.traction.one/pokedex/pokemon/229.png,2,2,1,119,0,dark,fire,Fog,Sunny/clear,533,224,159,150,0,1,1,0,0,0,0,0,0,0,0,2529,2493
Kingdra,230,https://cdn.traction.one/pokedex/pokemon/230.png,2,3,1,55,1,water,dragon,Rainy,Windy,538,194,194,150,0,1,1,0,0,0,0,0,0,0,0,2424,2389
Phanpy,231,https://cdn.traction.one/pokedex/pokemon/231.png,2,1,0,120,0,ground,,Sunny/clear,,394,107,107,180,0,1,1,0,0,5,0,0,0,0,0,1175,1158
Donphan,232,https://cdn.traction.one/pokedex/pokemon/232.png,2,2,1,120,0,ground,,Sunny/clear,,608,214,214,180,0,1,1,0,0,0,0,0,0,0,0,3022,2979
Porygon2,233,https://cdn.traction.one/pokedex/pokemon/233.png,2,2,1,69,0,normal,,Partly cloudy,,551,198,183,170,0,1,0,0,0,0,0,0,0,0,1,2546,2509
Stantler,234,https://cdn.traction.one/pokedex/pokemon/234.png,2,1,1,121,0,normal,,Partly cloudy,,470,192,132,146,0,1,1,0,0,5,0,0,0,0,0,1988,1960
Smeargle,235,https://cdn.traction.one/pokedex/pokemon/235.png,2,1,1,122,0,normal,,Partly cloudy,,238,40,88,110,0,0,0,0,0,0,0,0,0,0,0,389,384
Tyrogue,236,https://cdn.traction.one/pokedex/pokemon/236.png,2,0,0,48,0,fighting,,Cloudy,,198,64,64,70,0,1,0,0,0,5,0,0,0,0,0,404,398
Hitmontop,237,https://cdn.traction.one/pokedex/pokemon/237.png,2,1,1,48,0,fighting,,Cloudy,,487,173,214,100,0,1,1,0,0,0,0,0,0,0,0,1905,1878
Smoochum,238,https://cdn.traction.one/pokedex/pokemon/238.png,2,0,0,,0,ice,psychic,Snow,Windy,359,153,116,90,0,1,0,0,0,5,0,0,0,0,0,1230,1213
Elekid,239,https://cdn.traction.one/pokedex/pokemon/239.png,2,0,0,,0,electric,,Rainy,,335,135,110,90,0,1,0,0,0,5,0,0,0,0,0,1073,1057
Magby,240,https://cdn.traction.one/pokedex/pokemon/240.png,2,0,0,,0,fire,,Sunny/clear,,349,151,108,90,0,1,0,0,0,5,0,0,0,0,0,1178,1161
Miltank,241,https://cdn.traction.one/pokedex/pokemon/241.png,2,1,1,123,0,normal,,Partly cloudy,,558,157,211,190,0,1,1,0,0,10,0,0,0,0,0,2312,2279
Blissey,242,https://cdn.traction.one/pokedex/pokemon/242.png,2,2,1,,1,normal,,Partly cloudy,,868,129,229,510,0,1,1,0,0,0,0,0,0,0,0,3219,3173
Raikou,243,https://cdn.traction.one/pokedex/pokemon/243.png,2,1,1,124,0,electric,,Rainy,,631,241,210,180,1,1,0,0,0,0,0,0,0,1,0,3349,3301
Entei,244,https://cdn.traction.one/pokedex/pokemon/244.png,2,1,1,125,0,fire,,Sunny/clear,,641,235,176,230,1,1,0,0,0,0,0,0,0,1,0,3377,3329
Suicune,245,https://cdn.traction.one/pokedex/pokemon/245.png,2,1,1,126,0,water,,Rainy,,615,180,235,200,1,1,0,0,0,0,0,0,0,1,0,2823,2783
Larvitar,246,https://cdn.traction.one/pokedex/pokemon/246.png,2,1,0,127,0,rock,ground,Partly cloudy,Sunny/clear,308,115,93,100,0,1,1,0,0,10,0,0,0,0,0,904,891
Pupitar,247,https://cdn.traction.one/pokedex/pokemon/247.png,2,2,0,127,0,rock,ground,Partly cloudy,Sunny/clear,428,155,133,140,0,1,1,0,0,0,0,0,0,0,0,1608,1585
Tyranitar,248,https://cdn.traction.one/pokedex/pokemon/248.png,2,3,1,127,0,rock,dark,Partly cloudy,Fog,663,251,212,200,0,1,1,0,4,0,0,0,0,0,0,3670,3617
Lugia,249,https://cdn.traction.one/pokedex/pokemon/249.png,2,1,1,128,0,psychic,flying,Windy,,728,193,323,212,1,1,0,0,5,0,1,0,0,1,0,3598,3547
Ho Oh,250,https://cdn.traction.one/pokedex/pokemon/250.png,2,1,1,129,0,fire,flying,Sunny/clear,Windy,706,239,274,193,1,1,0,0,0,0,0,0,0,1,0,3889,3833
Celebi,251,https://cdn.traction.one/pokedex/pokemon/251.png,2,1,1,130,0,psychic,grass,Windy,Sunny/clear,620,210,210,200,2,0,0,0,0,0,0,0,0,0,0,3090,3046
Treecko,252,https://cdn.traction.one/pokedex/pokemon/252.png,3,1,0,131,0,grass,,Sunny/clear,,308,124,104,80,0,1,1,0,0,5,0,1,0,0,0,923,909
Grovyle,253,https://cdn.traction.one/pokedex/pokemon/253.png,3,2,0,131,0,grass,,Sunny/clear,,402,172,130,100,0,1,1,0,0,0,0,0,0,0,0,1508,1486
Sceptile,254,https://cdn.traction.one/pokedex/pokemon/254.png,3,3,1,131,0,grass,,Sunny/clear,,543,223,180,140,0,1,0,0,0,0,0,0,0,0,0,2584,2547
Torchic,255,https://cdn.traction.one/pokedex/pokemon/255.png,3,1,0,132,0,fire,,Sunny/clear,,312,130,92,90,0,1,1,0,0,5,0,1,0,0,0,959,946
Combusken,256,https://cdn.traction.one/pokedex/pokemon/256.png,3,2,0,132,0,fire,fighting,Sunny/clear,Cloudy,398,163,115,120,0,1,1,0,0,0,0,0,0,0,0,1472,1451
Blaziken,257,https://cdn.traction.one/pokedex/pokemon/257.png,3,3,1,132,0,fire,fighting,Sunny/clear,Cloudy,541,240,141,160,0,1,0,0,0,0,0,0,0,0,0,2631,2593
Mudkip,258,https://cdn.traction.one/pokedex/pokemon/258.png,3,1,0,133,0,water,,Rainy,,319,126,93,100,0,1,1,0,0,5,0,1,0,0,0,981,967
Marshtomp,259,https://cdn.traction.one/pokedex/pokemon/259.png,3,2,0,133,0,water,ground,Rainy,Sunny/clear,429,156,133,140,0,1,1,0,0,0,0,0,0,0,0,1617,1594
Swampert,260,https://cdn.traction.one/pokedex/pokemon/260.png,3,3,1,133,0,water,ground,Rainy,Sunny/clear,583,208,175,200,0,1,0,0,0,0,0,0,0,0,0,2815,2774
Poochyena,261,https://cdn.traction.one/pokedex/pokemon/261.png,3,1,0,134,0,dark,,Fog,,229,96,63,70,0,1,1,0,0,2,1,1,0,0,0,564,556
Mightyena,262,https://cdn.traction.one/pokedex/pokemon/262.png,3,2,1,134,0,dark,,Fog,,448,171,137,140,0,1,1,0,0,0,1,0,0,0,0,1783,1757
Zigzagoon,263,https://cdn.traction.one/pokedex/pokemon/263.png,3,1,0,135,0,normal,,Partly cloudy,,214,58,80,76,0,1,1,0,0,2,0,1,0,0,0,423,417
Linoone,264,https://cdn.traction.one/pokedex/pokemon/264.png,3,2,1,135,0,normal,,Partly cloudy,,426,142,128,156,0,1,1,0,0,0,0,0,0,0,0,1533,1511
Wurmple,265,https://cdn.traction.one/pokedex/pokemon/265.png,3,1,0,136,0,bug,,Rainy,,226,75,61,90,0,1,1,0,0,2,0,1,0,0,0,502,494
Silcoon,266,https://cdn.traction.one/pokedex/pokemon/266.png,3,2,0,136,0,bug,,Rainy,,251,60,91,100,0,1,0,0,0,0,0,0,0,0,0,517,509
Beautifly,267,https://cdn.traction.one/pokedex/pokemon/267.png,3,3,1,136,0,bug,flying,Rainy,Windy,407,189,98,120,0,1,0,0,0,0,0,0,0,0,0,1573,1551
Cascoon,268,https://cdn.traction.one/pokedex/pokemon/268.png,3,2,0,137,0,bug,,Rainy,,251,60,91,100,0,1,0,0,0,0,0,0,0,0,0,517,509
Dustox,269,https://cdn.traction.one/pokedex/pokemon/269.png,3,3,1,137,0,bug,poison,Rainy,Cloudy,390,98,172,120,0,1,0,0,0,0,0,0,0,0,0,1121,1105
Lotad,270,https://cdn.traction.one/pokedex/pokemon/270.png,3,1,0,138,0,water,grass,Rainy,Sunny/clear,237,71,86,80,0,1,1,0,0,5,0,0,0,0,0,526,518
Lombre,271,https://cdn.traction.one/pokedex/pokemon/271.png,3,2,0,138,0,water,grass,Rainy,Sunny/clear,360,112,128,120,0,1,1,0,0,0,0,0,0,0,0,1102,1086
Ludicolo,272,https://cdn.traction.one/pokedex/pokemon/272.png,3,3,1,138,0,water,grass,Rainy,Sunny/clear,524,173,191,160,0,1,0,0,0,0,0,0,0,0,0,2229,2197
Seedot,273,https://cdn.traction.one/pokedex/pokemon/273.png,3,1,0,139,0,grass,,Sunny/clear,,237,71,86,80,0,1,1,0,0,5,0,1,0,0,0,526,518
Nuzleaf,274,https://cdn.traction.one/pokedex/pokemon/274.png,3,2,0,139,0,grass,dark,Sunny/clear,Fog,352,134,78,140,0,1,1,0,0,0,0,0,0,0,0,1117,1101
Shiftry,275,https://cdn.traction.one/pokedex/pokemon/275.png,3,3,1,139,0,grass,dark,Sunny/clear,Fog,501,200,121,180,0,1,0,0,0,0,0,0,0,0,0,2186,2155
Taillow,276,https://cdn.traction.one/pokedex/pokemon/276.png,3,1,0,140,0,normal,flying,Partly cloudy,Windy,247,106,61,80,0,3,1,0,0,0,0,1,1,0,0,642,632
Swellow,277,https://cdn.traction.one/pokedex/pokemon/277.png,3,2,1,140,0,normal,flying,Partly cloudy,Windy,435,185,130,120,0,3,1,0,0,0,0,0,1,0,0,1747,1722
Wingull,278,https://cdn.traction.one/pokedex/pokemon/278.png,3,1,0,141,0,water,flying,Rainy,Windy,247,106,61,80,0,3,1,0,0,0,0,1,1,0,0,642,632
Pelipper,279,https://cdn.traction.one/pokedex/pokemon/279.png,3,2,1,141,0,water,flying,Rainy,Windy,484,175,189,120,0,3,1,0,0,0,0,0,1,0,0,1969,1941
Ralts,280,https://cdn.traction.one/pokedex/pokemon/280.png,3,1,0,142,0,psychic,fairy,Windy,Cloudy,198,79,63,56,0,1,1,0,0,10,0,0,0,0,1,436,430
Kirlia,281,https://cdn.traction.one/pokedex/pokemon/281.png,3,2,0,142,0,psychic,fairy,Windy,Cloudy,293,117,100,76,0,1,1,0,0,0,0,0,0,0,1,843,831
Gardevoir,282,https://cdn.traction.one/pokedex/pokemon/282.png,3,3,1,142,0,psychic,fairy,Windy,Cloudy,593,237,220,136,0,1,0,0,0,0,0,0,0,0,0,2964,2922
Surskit,283,https://cdn.traction.one/pokedex/pokemon/283.png,3,1,0,143,0,bug,water,Rainy,,270,93,97,80,0,3,1,0,0,0,0,1,1,0,0,695,685
Masquerain,284,https://cdn.traction.one/pokedex/pokemon/284.png,3,2,0,143,0,bug,flying,Rainy,Windy,493,192,161,140,0,3,1,0,0,0,0,0,1,0,0,2135,2104
Shroomish,285,https://cdn.traction.one/pokedex/pokemon/285.png,3,1,0,144,0,grass,,Sunny/clear,,304,74,110,120,0,1,1,0,0,5,0,1,0,0,0,722,711
Breloom,286,https://cdn.traction.one/pokedex/pokemon/286.png,3,2,0,144,0,grass,fighting,Sunny/clear,Cloudy,514,241,153,120,0,1,1,0,0,0,0,0,0,0,0,2407,2373
Slakoth,287,https://cdn.traction.one/pokedex/pokemon/287.png,3,1,0,145,0,normal,,Partly cloudy,,328,104,104,120,0,1,1,0,0,10,0,0,0,0,0,942,928
Vigoroth,288,https://cdn.traction.one/pokedex/pokemon/288.png,3,2,0,145,0,normal,,Partly cloudy,,478,159,159,160,0,1,1,0,0,0,0,0,0,0,0,1896,1869
Slaking,289,https://cdn.traction.one/pokedex/pokemon/289.png,3,3,0,145,0,normal,,Partly cloudy,,746,290,183,273,0,1,0,0,0,0,0,0,0,0,0,4548,4484
Nincada,290,https://cdn.traction.one/pokedex/pokemon/290.png,3,1,0,146,0,bug,ground,Rainy,Sunny/clear,295,80,153,62,0,0,0,0,0,0,0,0,0,0,0,674,665
Ninjask,291,https://cdn.traction.one/pokedex/pokemon/291.png,3,2,0,146,0,bug,flying,Rainy,Windy,437,199,116,122,0,0,0,0,0,0,0,0,0,0,0,1790,1765
Shedinja,292,https://cdn.traction.one/pokedex/pokemon/292.png,3,3,0,146,0,bug,ghost,Rainy,Fog,235,153,80,2,0,0,0,0,0,0,0,0,0,0,0,421,415
Whismur,293,https://cdn.traction.one/pokedex/pokemon/293.png,3,1,0,147,0,normal,,Partly cloudy,,262,92,42,128,0,2,1,0,0,2,0,1,0,0,0,603,594
Loudred,294,https://cdn.traction.one/pokedex/pokemon/294.png,3,2,0,147,0,normal,,Partly cloudy,,383,134,81,168,0,2,1,0,0,0,0,0,0,0,0,1233,1215
Exploud,295,https://cdn.traction.one/pokedex/pokemon/295.png,3,3,0,147,0,normal,,Partly cloudy,,529,179,142,208,0,2,0,0,0,0,0,0,0,0,0,2267,2234
Makuhita,296,https://cdn.traction.one/pokedex/pokemon/296.png,3,1,0,148,0,fighting,,Cloudy,,297,99,54,144,0,1,1,0,0,5,0,1,0,0,0,745,735
Hariyama,297,https://cdn.traction.one/pokedex/pokemon/297.png,3,2,0,148,0,fighting,,Cloudy,,611,209,114,288,0,1,1,0,0,0,0,0,0,0,0,2765,2726
Azurill,298,https://cdn.traction.one/pokedex/pokemon/298.png,3,0,0,,0,normal,fairy,Partly cloudy,Cloudy,207,36,71,100,0,1,0,0,0,5,0,0,0,0,0,316,312
Nosepass,299,https://cdn.traction.one/pokedex/pokemon/299.png,3,1,0,149,0,rock,,Partly cloudy,,378,82,236,60,0,2,1,0,0,5,0,1,0,0,1,831,819
